File.ID,Scenario,Iteration,Nsnps,Nids,Subset.Within.Iteration,True.QTL.Count,False.QTL.Count
Scenario_1_25000_0.4_1_100000_1000_1,1,1,1e+05,1000,1,0,0
Scenario_1_25000_0.4_1_100000_1000_10,1,1,1e+05,1000,10,0,0
Scenario_1_25000_0.4_1_100000_1000_2,1,1,1e+05,1000,2,0,0
Scenario_1_25000_0.4_1_100000_1000_3,1,1,1e+05,1000,3,0,0
Scenario_1_25000_0.4_1_100000_1000_4,1,1,1e+05,1000,4,1,0
Scenario_1_25000_0.4_1_100000_1000_5,1,1,1e+05,1000,5,0,0
Scenario_1_25000_0.4_1_100000_1000_6,1,1,1e+05,1000,6,0,0
Scenario_1_25000_0.4_1_100000_1000_7,1,1,1e+05,1000,7,0,0
Scenario_1_25000_0.4_1_100000_1000_8,1,1,1e+05,1000,8,0,0
Scenario_1_25000_0.4_1_100000_1000_9,1,1,1e+05,1000,9,0,0
Scenario_1_25000_0.4_1_100000_250_1,1,1,1e+05,250,1,0,0
Scenario_1_25000_0.4_1_100000_250_10,1,1,1e+05,250,10,0,1
Scenario_1_25000_0.4_1_100000_250_2,1,1,1e+05,250,2,0,0
Scenario_1_25000_0.4_1_100000_250_3,1,1,1e+05,250,3,0,0
Scenario_1_25000_0.4_1_100000_250_4,1,1,1e+05,250,4,0,0
Scenario_1_25000_0.4_1_100000_250_5,1,1,1e+05,250,5,0,0
Scenario_1_25000_0.4_1_100000_250_6,1,1,1e+05,250,6,0,0
Scenario_1_25000_0.4_1_100000_250_7,1,1,1e+05,250,7,0,0
Scenario_1_25000_0.4_1_100000_250_8,1,1,1e+05,250,8,0,0
Scenario_1_25000_0.4_1_100000_250_9,1,1,1e+05,250,9,0,0
Scenario_1_25000_0.4_1_100000_2500_1,1,1,1e+05,2500,1,1,0
Scenario_1_25000_0.4_1_100000_2500_10,1,1,1e+05,2500,10,0,0
Scenario_1_25000_0.4_1_100000_2500_2,1,1,1e+05,2500,2,0,0
Scenario_1_25000_0.4_1_100000_2500_3,1,1,1e+05,2500,3,0,0
Scenario_1_25000_0.4_1_100000_2500_4,1,1,1e+05,2500,4,1,0
Scenario_1_25000_0.4_1_100000_2500_5,1,1,1e+05,2500,5,1,0
Scenario_1_25000_0.4_1_100000_2500_6,1,1,1e+05,2500,6,0,0
Scenario_1_25000_0.4_1_100000_2500_7,1,1,1e+05,2500,7,1,0
Scenario_1_25000_0.4_1_100000_2500_8,1,1,1e+05,2500,8,1,0
Scenario_1_25000_0.4_1_100000_2500_9,1,1,1e+05,2500,9,0,0
Scenario_1_25000_0.4_1_100000_500_1,1,1,1e+05,500,1,0,0
Scenario_1_25000_0.4_1_100000_500_10,1,1,1e+05,500,10,0,0
Scenario_1_25000_0.4_1_100000_500_2,1,1,1e+05,500,2,0,0
Scenario_1_25000_0.4_1_100000_500_3,1,1,1e+05,500,3,0,0
Scenario_1_25000_0.4_1_100000_500_4,1,1,1e+05,500,4,0,0
Scenario_1_25000_0.4_1_100000_500_5,1,1,1e+05,500,5,0,0
Scenario_1_25000_0.4_1_100000_500_6,1,1,1e+05,500,6,0,0
Scenario_1_25000_0.4_1_100000_500_7,1,1,1e+05,500,7,0,0
Scenario_1_25000_0.4_1_100000_500_8,1,1,1e+05,500,8,0,0
Scenario_1_25000_0.4_1_100000_500_9,1,1,1e+05,500,9,0,0
Scenario_1_25000_0.4_1_100000_5000_1,1,1,1e+05,5000,1,1,0
Scenario_1_25000_0.4_1_100000_5000_10,1,1,1e+05,5000,10,1,0
Scenario_1_25000_0.4_1_100000_5000_2,1,1,1e+05,5000,2,1,0
Scenario_1_25000_0.4_1_100000_5000_3,1,1,1e+05,5000,3,1,0
Scenario_1_25000_0.4_1_100000_5000_4,1,1,1e+05,5000,4,1,0
Scenario_1_25000_0.4_1_100000_5000_5,1,1,1e+05,5000,5,1,0
Scenario_1_25000_0.4_1_100000_5000_6,1,1,1e+05,5000,6,1,0
Scenario_1_25000_0.4_1_100000_5000_7,1,1,1e+05,5000,7,1,0
Scenario_1_25000_0.4_1_100000_5000_8,1,1,1e+05,5000,8,1,0
Scenario_1_25000_0.4_1_100000_5000_9,1,1,1e+05,5000,9,1,0
Scenario_1_25000_0.4_1_195947_1000_1,1,1,2e+05,1000,1,0,0
Scenario_1_25000_0.4_1_195947_1000_10,1,1,2e+05,1000,10,0,0
Scenario_1_25000_0.4_1_195947_1000_2,1,1,2e+05,1000,2,0,0
Scenario_1_25000_0.4_1_195947_1000_3,1,1,2e+05,1000,3,0,0
Scenario_1_25000_0.4_1_195947_1000_4,1,1,2e+05,1000,4,0,0
Scenario_1_25000_0.4_1_195947_1000_5,1,1,2e+05,1000,5,0,0
Scenario_1_25000_0.4_1_195947_1000_6,1,1,2e+05,1000,6,0,0
Scenario_1_25000_0.4_1_195947_1000_7,1,1,2e+05,1000,7,0,0
Scenario_1_25000_0.4_1_195947_1000_8,1,1,2e+05,1000,8,0,0
Scenario_1_25000_0.4_1_195947_1000_9,1,1,2e+05,1000,9,0,0
Scenario_1_25000_0.4_1_195947_250_1,1,1,2e+05,250,1,0,0
Scenario_1_25000_0.4_1_195947_250_10,1,1,2e+05,250,10,0,0
Scenario_1_25000_0.4_1_195947_250_2,1,1,2e+05,250,2,0,0
Scenario_1_25000_0.4_1_195947_250_3,1,1,2e+05,250,3,0,0
Scenario_1_25000_0.4_1_195947_250_4,1,1,2e+05,250,4,0,0
Scenario_1_25000_0.4_1_195947_250_5,1,1,2e+05,250,5,0,0
Scenario_1_25000_0.4_1_195947_250_6,1,1,2e+05,250,6,0,0
Scenario_1_25000_0.4_1_195947_250_7,1,1,2e+05,250,7,0,0
Scenario_1_25000_0.4_1_195947_250_8,1,1,2e+05,250,8,0,0
Scenario_1_25000_0.4_1_195947_250_9,1,1,2e+05,250,9,0,0
Scenario_1_25000_0.4_1_195947_2500_1,1,1,2e+05,2500,1,1,0
Scenario_1_25000_0.4_1_195947_2500_10,1,1,2e+05,2500,10,1,0
Scenario_1_25000_0.4_1_195947_2500_2,1,1,2e+05,2500,2,0,0
Scenario_1_25000_0.4_1_195947_2500_3,1,1,2e+05,2500,3,1,0
Scenario_1_25000_0.4_1_195947_2500_4,1,1,2e+05,2500,4,1,0
Scenario_1_25000_0.4_1_195947_2500_5,1,1,2e+05,2500,5,1,0
Scenario_1_25000_0.4_1_195947_2500_6,1,1,2e+05,2500,6,1,0
Scenario_1_25000_0.4_1_195947_2500_7,1,1,2e+05,2500,7,1,0
Scenario_1_25000_0.4_1_195947_2500_8,1,1,2e+05,2500,8,1,0
Scenario_1_25000_0.4_1_195947_2500_9,1,1,2e+05,2500,9,0,0
