Full.Iteration.ID,Merged,df,logL,logL0,LRT,n,Pval,V(e),V(e).SE,V(G),V(G).SE,V(G)/Vp,V(G)/Vp.SE,Vp,Vp.SE,HistN,heritability,Iteration,True.Nsnps,Nids,Subset.Within.Iteration,Nsnps,File.ID
Scenario_1_25000_0.4_1_100000_1000_1,FALSE,1,-531.921,-533.574,3.306,1000,0.03452,0.686689,0.209817,0.376199,0.211891,0.35394,0.197503,1.062888,0.047699,25000,0.4,1,100000,1000,1,100000,Scenario_1_25000_0.4_1_100000_1000_1
Scenario_1_25000_0.4_1_100000_1000_1,TRUE,1,-531.518,-533.574,4.111,1000,0.0213,0.64341,0.209148,0.41942,0.212087,0.394626,0.197245,1.06283,0.047731,25000,0.4,1,100000,1000,1,100000,Scenario_1_25000_0.4_1_100000_1000_1
Scenario_1_25000_0.4_1_100000_1000_10,FALSE,1,-490.711,-494.537,7.652,1000,0.002835,0.401868,0.203135,0.581705,0.209573,0.59142,0.208048,0.983573,0.044365,25000,0.4,1,100000,1000,10,100000,Scenario_1_25000_0.4_1_100000_1000_10
Scenario_1_25000_0.4_1_100000_1000_10,TRUE,1,-489.936,-494.537,9.201,1000,0.001209,0.347866,0.201633,0.635736,0.209095,0.646335,0.206583,0.983602,0.044434,25000,0.4,1,100000,1000,10,100000,Scenario_1_25000_0.4_1_100000_1000_10
Scenario_1_25000_0.4_1_100000_1000_2,FALSE,1,-529.632,-535.154,11.044,1000,0.0004448,0.348427,0.212538,0.717291,0.221025,0.673059,0.200955,1.065718,0.048155,25000,0.4,1,100000,1000,2,100000,Scenario_1_25000_0.4_1_100000_1000_2
Scenario_1_25000_0.4_1_100000_1000_2,TRUE,1,-528.582,-535.154,13.145,1000,0.0001442,0.286854,0.210615,0.778642,0.220269,0.730779,0.199139,1.065496,0.048226,25000,0.4,1,100000,1000,2,100000,Scenario_1_25000_0.4_1_100000_1000_2
Scenario_1_25000_0.4_1_100000_1000_3,FALSE,1,-521.356,-522.266,1.821,1000,0.08859,0.750542,0.216461,0.288904,0.217038,0.277941,0.207679,1.039446,0.046594,25000,0.4,1,100000,1000,3,100000,Scenario_1_25000_0.4_1_100000_1000_3
Scenario_1_25000_0.4_1_100000_1000_3,TRUE,1,-520.859,-522.266,2.814,1000,0.04673,0.681059,0.215177,0.358366,0.217068,0.344774,0.207114,1.039425,0.046637,25000,0.4,1,100000,1000,3,100000,Scenario_1_25000_0.4_1_100000_1000_3
Scenario_1_25000_0.4_1_100000_1000_4,FALSE,1,-512.895,-514.165,2.539,1000,0.05552,0.656543,0.218297,0.366587,0.220635,0.3583,0.21375,1.02313,0.045929,25000,0.4,1,100000,1000,4,100000,Scenario_1_25000_0.4_1_100000_1000_4
Scenario_1_25000_0.4_1_100000_1000_4,TRUE,1,-512.585,-514.165,3.159,1000,0.03775,0.613742,0.217763,0.409525,0.220942,0.400213,0.213549,1.023267,0.045973,25000,0.4,1,100000,1000,4,100000,Scenario_1_25000_0.4_1_100000_1000_4
