Subset.Within.Iteration,HistN,Nsnps,Nids,heritability,Iteration,Title,Full.Iteration.ID,Data.Available,True.Nsnps
1,25000,5000,250,0.4,1,Scenario_1_25000_0.4_1,Scenario_1_25000_0.4_1_5000_250_1,yes,5000
1,25000,5000,250,0.4,4,Scenario_1_25000_0.4_4,Scenario_1_25000_0.4_4_5000_250_1,yes,5000
1,25000,5000,250,0.4,5,Scenario_1_25000_0.4_5,Scenario_1_25000_0.4_5_5000_250_1,yes,5000
1,25000,5000,250,0.4,6,Scenario_1_25000_0.4_6,Scenario_1_25000_0.4_6_5000_250_1,yes,5000
1,25000,5000,250,0.4,7,Scenario_1_25000_0.4_7,Scenario_1_25000_0.4_7_5000_250_1,yes,5000
1,25000,5000,250,0.4,8,Scenario_1_25000_0.4_8,Scenario_1_25000_0.4_8_5000_250_1,yes,5000
1,25000,5000,250,0.4,10,Scenario_1_25000_0.4_10,Scenario_1_25000_0.4_10_5000_250_1,yes,5000
1,25000,5000,250,0.4,11,Scenario_1_25000_0.4_11,Scenario_1_25000_0.4_11_5000_250_1,yes,5000
1,25000,5000,250,0.4,12,Scenario_1_25000_0.4_12,Scenario_1_25000_0.4_12_5000_250_1,yes,5000
1,25000,5000,250,0.4,13,Scenario_1_25000_0.4_13,Scenario_1_25000_0.4_13_5000_250_1,yes,5000
1,25000,5000,500,0.4,1,Scenario_1_25000_0.4_1,Scenario_1_25000_0.4_1_5000_500_1,yes,5000
1,25000,5000,500,0.4,4,Scenario_1_25000_0.4_4,Scenario_1_25000_0.4_4_5000_500_1,yes,5000
1,25000,5000,500,0.4,5,Scenario_1_25000_0.4_5,Scenario_1_25000_0.4_5_5000_500_1,yes,5000
1,25000,5000,500,0.4,6,Scenario_1_25000_0.4_6,Scenario_1_25000_0.4_6_5000_500_1,yes,5000
1,25000,5000,500,0.4,7,Scenario_1_25000_0.4_7,Scenario_1_25000_0.4_7_5000_500_1,yes,5000
1,25000,5000,500,0.4,8,Scenario_1_25000_0.4_8,Scenario_1_25000_0.4_8_5000_500_1,yes,5000
