File.ID,Merged,df,logL,logL0,LRT,n,Pval,V(e),V(e).SE,V(G),V(G).SE,V(G)/Vp,V(G)/Vp.SE,Vp,Vp.SE,HistN,heritability,Ngenerations,Iteration,True.Nsnps,Nids,Subset.Within.Iteration,Nsnps,Full.Iteration.ID
Scenario_2_25000_0.4_3_1_100000_1000_1,FALSE,1,-467.592,-485.729,36.274,1000,0.0000000008572,0.53455,0.074179,0.428379,0.083611,0.444871,0.079358,0.962929,0.044509,25000,0.4,3,1,100000,1000,1,100000,Scenario_2_25000_0.4_3_1_100000_1000_1
Scenario_2_25000_0.4_3_1_100000_1000_1,TRUE,1,-466.943,-485.729,37.571,1000,0.0000000004408,0.527055,0.073903,0.435716,0.083677,0.452565,0.079193,0.962771,0.044544,25000,0.4,3,1,100000,1000,1,100000,Scenario_2_25000_0.4_3_1_100000_1000_1
Scenario_2_25000_0.4_3_1_100000_1000_10,FALSE,1,-457.987,-478.612,41.25,1000,0.00000000006697,0.461841,0.074732,0.491245,0.087138,0.515425,0.08171,0.953086,0.04444,25000,0.4,3,1,100000,1000,10,100000,Scenario_2_25000_0.4_3_1_100000_1000_10
Scenario_2_25000_0.4_3_1_100000_1000_10,TRUE,1,-457.99,-478.612,41.245,1000,0.00000000006715,0.461916,0.074732,0.491162,0.087135,0.515343,0.08171,0.953078,0.044439,25000,0.4,3,1,100000,1000,10,100000,Scenario_2_25000_0.4_3_1_100000_1000_10
Scenario_2_25000_0.4_3_1_100000_1000_2,FALSE,1,-440.222,-447.431,14.419,1000,0.00007316,0.576623,0.078817,0.324201,0.08503,0.359894,0.089288,0.900824,0.041367,25000,0.4,3,1,100000,1000,2,100000,Scenario_2_25000_0.4_3_1_100000_1000_2
Scenario_2_25000_0.4_3_1_100000_1000_2,TRUE,1,-439.64,-447.431,15.583,1000,0.00003948,0.564266,0.078455,0.336998,0.085272,0.373917,0.089121,0.901264,0.041464,25000,0.4,3,1,100000,1000,2,100000,Scenario_2_25000_0.4_3_1_100000_1000_2
Scenario_2_25000_0.4_3_1_100000_1000_3,FALSE,1,-482.247,-505.765,47.036,1000,0.000000000003485,0.511339,0.07326,0.486701,0.084577,0.487657,0.075959,0.99804,0.046274,25000,0.4,3,1,100000,1000,3,100000,Scenario_2_25000_0.4_3_1_100000_1000_3
Scenario_2_25000_0.4_3_1_100000_1000_3,TRUE,1,-481.484,-505.765,48.563,1000,0.000000000001599,0.504054,0.072919,0.493604,0.084554,0.494762,0.075723,0.997658,0.046296,25000,0.4,3,1,100000,1000,3,100000,Scenario_2_25000_0.4_3_1_100000_1000_3
Scenario_2_25000_0.4_3_1_100000_1000_4,FALSE,1,-469.771,-493.529,47.517,1000,0.000000000002727,0.47018,0.074002,0.510025,0.087614,0.520325,0.079057,0.980205,0.04593,25000,0.4,3,1,100000,1000,4,100000,Scenario_2_25000_0.4_3_1_100000_1000_4
Scenario_2_25000_0.4_3_1_100000_1000_4,TRUE,1,-469.615,-493.529,47.828,1000,0.000000000002327,0.468431,0.073942,0.511777,0.087636,0.522111,0.079011,0.980208,0.045943,25000,0.4,3,1,100000,1000,4,100000,Scenario_2_25000_0.4_3_1_100000_1000_4
