Subset.Within.Iteration,HistN,Nsnps,Nids,heritability,Iteration,Ngenerations,Title,Full.Iteration.ID,Data.Available,File.ID,True.Nsnps
1,25000,5000,250,0.4,1,3,Scenario_2_25000_0.4_3_1,Scenario_2_25000_0.4_3_1_5000_250_1,yes,Scenario_2_25000_0.4_3_1_5000_250_1,5000
1,25000,5000,250,0.4,2,3,Scenario_2_25000_0.4_3_2,Scenario_2_25000_0.4_3_2_5000_250_1,yes,Scenario_2_25000_0.4_3_2_5000_250_1,5000
1,25000,5000,250,0.4,3,3,Scenario_2_25000_0.4_3_3,Scenario_2_25000_0.4_3_3_5000_250_1,yes,Scenario_2_25000_0.4_3_3_5000_250_1,5000
1,25000,5000,250,0.4,4,3,Scenario_2_25000_0.4_3_4,Scenario_2_25000_0.4_3_4_5000_250_1,yes,Scenario_2_25000_0.4_3_4_5000_250_1,5000
1,25000,5000,250,0.4,5,3,Scenario_2_25000_0.4_3_5,Scenario_2_25000_0.4_3_5_5000_250_1,yes,Scenario_2_25000_0.4_3_5_5000_250_1,5000
1,25000,5000,250,0.4,6,3,Scenario_2_25000_0.4_3_6,Scenario_2_25000_0.4_3_6_5000_250_1,yes,Scenario_2_25000_0.4_3_6_5000_250_1,5000
1,25000,5000,250,0.4,7,3,Scenario_2_25000_0.4_3_7,Scenario_2_25000_0.4_3_7_5000_250_1,yes,Scenario_2_25000_0.4_3_7_5000_250_1,5000
1,25000,5000,250,0.4,8,3,Scenario_2_25000_0.4_3_8,Scenario_2_25000_0.4_3_8_5000_250_1,yes,Scenario_2_25000_0.4_3_8_5000_250_1,5000
1,25000,5000,250,0.4,9,3,Scenario_2_25000_0.4_3_9,Scenario_2_25000_0.4_3_9_5000_250_1,yes,Scenario_2_25000_0.4_3_9_5000_250_1,5000
1,25000,5000,250,0.4,10,3,Scenario_2_25000_0.4_3_10,Scenario_2_25000_0.4_3_10_5000_250_1,yes,Scenario_2_25000_0.4_3_10_5000_250_1,5000
1,25000,5000,500,0.4,1,3,Scenario_2_25000_0.4_3_1,Scenario_2_25000_0.4_3_1_5000_500_1,yes,Scenario_2_25000_0.4_3_1_5000_500_1,5000
1,25000,5000,500,0.4,2,3,Scenario_2_25000_0.4_3_2,Scenario_2_25000_0.4_3_2_5000_500_1,yes,Scenario_2_25000_0.4_3_2_5000_500_1,5000
1,25000,5000,500,0.4,3,3,Scenario_2_25000_0.4_3_3,Scenario_2_25000_0.4_3_3_5000_500_1,yes,Scenario_2_25000_0.4_3_3_5000_500_1,5000
1,25000,5000,500,0.4,4,3,Scenario_2_25000_0.4_3_4,Scenario_2_25000_0.4_3_4_5000_500_1,yes,Scenario_2_25000_0.4_3_4_5000_500_1,5000
1,25000,5000,500,0.4,5,3,Scenario_2_25000_0.4_3_5,Scenario_2_25000_0.4_3_5_5000_500_1,yes,Scenario_2_25000_0.4_3_5_5000_500_1,5000
1,25000,5000,500,0.4,6,3,Scenario_2_25000_0.4_3_6,Scenario_2_25000_0.4_3_6_5000_500_1,yes,Scenario_2_25000_0.4_3_6_5000_500_1,5000
1,25000,5000,500,0.4,7,3,Scenario_2_25000_0.4_3_7,Scenario_2_25000_0.4_3_7_5000_500_1,yes,Scenario_2_25000_0.4_3_7_5000_500_1,5000
1,25000,5000,500,0.4,8,3,Scenario_2_25000_0.4_3_8,Scenario_2_25000_0.4_3_8_5000_500_1,yes,Scenario_2_25000_0.4_3_8_5000_500_1,5000
1,25000,5000,500,0.4,9,3,Scenario_2_25000_0.4_3_9,Scenario_2_25000_0.4_3_9_5000_500_1,yes,Scenario_2_25000_0.4_3_9_5000_500_1,5000
1,25000,5000,500,0.4,10,3,Scenario_2_25000_0.4_3_10,Scenario_2_25000_0.4_3_10_5000_500_1,yes,Scenario_2_25000_0.4_3_10_5000_500_1,5000
1,25000,5000,1000,0.4,1,3,Scenario_2_25000_0.4_3_1,Scenario_2_25000_0.4_3_1_5000_1000_1,yes,Scenario_2_25000_0.4_3_1_5000_1000_1,5000
1,25000,5000,1000,0.4,2,3,Scenario_2_25000_0.4_3_2,Scenario_2_25000_0.4_3_2_5000_1000_1,yes,Scenario_2_25000_0.4_3_2_5000_1000_1,5000
1,25000,5000,1000,0.4,3,3,Scenario_2_25000_0.4_3_3,Scenario_2_25000_0.4_3_3_5000_1000_1,yes,Scenario_2_25000_0.4_3_3_5000_1000_1,5000
1,25000,5000,1000,0.4,4,3,Scenario_2_25000_0.4_3_4,Scenario_2_25000_0.4_3_4_5000_1000_1,yes,Scenario_2_25000_0.4_3_4_5000_1000_1,5000
1,25000,5000,1000,0.4,5,3,Scenario_2_25000_0.4_3_5,Scenario_2_25000_0.4_3_5_5000_1000_1,yes,Scenario_2_25000_0.4_3_5_5000_1000_1,5000
1,25000,5000,1000,0.4,6,3,Scenario_2_25000_0.4_3_6,Scenario_2_25000_0.4_3_6_5000_1000_1,yes,Scenario_2_25000_0.4_3_6_5000_1000_1,5000
1,25000,5000,1000,0.4,7,3,Scenario_2_25000_0.4_3_7,Scenario_2_25000_0.4_3_7_5000_1000_1,yes,Scenario_2_25000_0.4_3_7_5000_1000_1,5000
