File.ID,Merged,df,logL,logL0,LRT,n,Pval,V(e),V(e).SE,V(G),V(G).SE,V(G)/Vp,V(G)/Vp.SE,Vp,Vp.SE,HistN,heritability,Ngenerations,Iteration,True.Nsnps,Nids,Subset.Within.Iteration,Nsnps,Full.Iteration.ID
Scenario_4_500_0.4_25_1_100000_100_1,FALSE,1,-42.447,-42.662,0.431,100,0.2558,0.672659,0.270603,0.156653,0.261182,0.188895,0.312178,0.829312,0.118086,500,0.4,25,1,100000,100,1,100000,Scenario_4_500_0.4_25_1_100000_100_1
Scenario_4_500_0.4_25_1_100000_100_1,TRUE,1,-42.446,-42.662,0.432,100,0.2555,0.672346,0.270605,0.156966,0.26123,0.189272,0.312223,0.829312,0.118087,500,0.4,25,1,100000,100,1,100000,Scenario_4_500_0.4_25_1_100000_100_1
Scenario_4_500_0.4_25_1_100000_100_10,FALSE,1,-43.898,-44.757,1.718,100,0.09498,0.497997,0.288526,0.365898,0.303276,0.423544,0.336505,0.863895,0.124261,500,0.4,25,1,100000,100,10,100000,Scenario_4_500_0.4_25_1_100000_100_10
Scenario_4_500_0.4_25_1_100000_100_10,TRUE,1,-43.898,-44.757,1.718,100,0.09497,0.497972,0.288525,0.365926,0.30328,0.423575,0.336505,0.863898,0.124263,500,0.4,25,1,100000,100,10,100000,Scenario_4_500_0.4_25_1_100000_100_10
Scenario_4_500_0.4_25_1_100000_100_2,FALSE,1,-38.689,-38.976,0.573,100,0.2246,0.557302,0.280981,0.214853,0.284173,0.278252,0.36123,0.772155,0.11051,500,0.4,25,1,100000,100,2,100000,Scenario_4_500_0.4_25_1_100000_100_2
Scenario_4_500_0.4_25_1_100000_100_2,TRUE,1,-38.684,-38.976,0.583,100,0.2225,0.555311,0.280821,0.216857,0.284245,0.280842,0.36119,0.772168,0.110526,500,0.4,25,1,100000,100,2,100000,Scenario_4_500_0.4_25_1_100000_100_2
Scenario_4_500_0.4_25_1_100000_100_3,FALSE,1,-42.127,-44.02,3.785,100,0.02586,0.176966,0.295552,0.683765,0.346557,0.794401,0.351246,0.86073,0.128156,500,0.4,25,1,100000,100,3,100000,Scenario_4_500_0.4_25_1_100000_100_3
Scenario_4_500_0.4_25_1_100000_100_3,TRUE,1,-42.127,-44.02,3.785,100,0.02586,0.176924,0.295558,0.683833,0.346579,0.794456,0.351243,0.860757,0.128163,500,0.4,25,1,100000,100,3,100000,Scenario_4_500_0.4_25_1_100000_100_3
Scenario_4_500_0.4_25_1_100000_100_4,FALSE,1,-43.558,-43.988,0.861,100,0.1768,0.586615,0.306442,0.265398,0.310774,0.311495,0.357086,0.852013,0.121861,500,0.4,25,1,100000,100,4,100000,Scenario_4_500_0.4_25_1_100000_100_4
Scenario_4_500_0.4_25_1_100000_100_4,TRUE,1,-43.554,-43.988,0.869,100,0.1756,0.585255,0.306397,0.26676,0.310897,0.313093,0.357143,0.852015,0.121871,500,0.4,25,1,100000,100,4,100000,Scenario_4_500_0.4_25_1_100000_100_4
Scenario_4_500_0.4_25_1_100000_100_5,FALSE,1,-44.893,-47.06,4.335,100,0.01867,0.260705,0.273682,0.64375,0.318359,0.711755,0.310567,0.904455,0.132914,500,0.4,25,1,100000,100,5,100000,Scenario_4_500_0.4_25_1_100000_100_5
Scenario_4_500_0.4_25_1_100000_100_5,TRUE,1,-44.888,-47.06,4.345,100,0.01856,0.260238,0.273551,0.644203,0.318282,0.712266,0.310425,0.904441,0.132918,500,0.4,25,1,100000,100,5,100000,Scenario_4_500_0.4_25_1_100000_100_5
Scenario_4_500_0.4_25_1_100000_100_6,FALSE,1,-40.24,-40.685,0.891,100,0.1726,0.592642,0.245846,0.20328,0.243494,0.255401,0.300298,0.795922,0.113643,500,0.4,25,1,100000,100,6,100000,Scenario_4_500_0.4_25_1_100000_100_6
Scenario_4_500_0.4_25_1_100000_100_6,TRUE,1,-40.236,-40.685,0.898,100,0.1716,0.591816,0.245772,0.204092,0.243527,0.256427,0.300295,0.795909,0.113646,500,0.4,25,1,100000,100,6,100000,Scenario_4_500_0.4_25_1_100000_100_6
Scenario_4_500_0.4_25_1_100000_100_7,FALSE,1,-47.237,-47.328,0.182,100,0.335,0.805479,0.300084,0.10696,0.282219,0.117224,0.308285,0.912438,0.129764,500,0.4,25,1,100000,100,7,100000,Scenario_4_500_0.4_25_1_100000_100_7
Scenario_4_500_0.4_25_1_100000_100_7,TRUE,1,-47.236,-47.328,0.184,100,0.334,0.804808,0.300085,0.107625,0.282312,0.117954,0.308373,0.912433,0.129765,500,0.4,25,1,100000,100,7,100000,Scenario_4_500_0.4_25_1_100000_100_7
Scenario_4_500_0.4_25_1_100000_100_8,FALSE,1,-47.052,-47.503,0.901,100,0.1712,0.709758,0.264005,0.202898,0.256,0.222316,0.276181,0.912657,0.130136,500,0.4,25,1,100000,100,8,100000,Scenario_4_500_0.4_25_1_100000_100_8
Scenario_4_500_0.4_25_1_100000_100_8,TRUE,1,-47.051,-47.503,0.904,100,0.1708,0.709392,0.263969,0.203258,0.256017,0.222712,0.276184,0.91265,0.130137,500,0.4,25,1,100000,100,8,100000,Scenario_4_500_0.4_25_1_100000_100_8
Scenario_4_500_0.4_25_1_100000_100_9,FALSE,1,-40.574,-41.149,1.15,100,0.1418,0.493345,0.290927,0.3123,0.303328,0.38764,0.363928,0.805645,0.115871,500,0.4,25,1,100000,100,9,100000,Scenario_4_500_0.4_25_1_100000_100_9
Scenario_4_500_0.4_25_1_100000_100_9,TRUE,1,-40.573,-41.149,1.153,100,0.1415,0.492996,0.290903,0.312661,0.303357,0.388082,0.363923,0.805657,0.115878,500,0.4,25,1,100000,100,9,100000,Scenario_4_500_0.4_25_1_100000_100_9
Scenario_4_500_0.4_25_1_100000_25_1,FALSE,1,-13.71,-14.219,1.019,25,0.1564,0.000001,1.475065,1.00864,1.497513,0.999999,1.462427,1.008641,0.290833,500,0.4,25,1,100000,25,1,100000,Scenario_4_500_0.4_25_1_100000_25_1
Scenario_4_500_0.4_25_1_100000_25_1,TRUE,1,-13.709,-14.219,1.02,25,0.1562,0.000001,1.474957,1.008599,1.497375,0.999999,1.462381,1.0086,0.290819,500,0.4,25,1,100000,25,1,100000,Scenario_4_500_0.4_25_1_100000_25_1
Scenario_4_500_0.4_25_1_100000_25_10,FALSE,1,-11.746,-11.72,0,25,0.5,0.80043,1.524931,0.000001,1.570727,0.000001,1.962352,0.800431,0.232173,500,0.4,25,1,100000,25,10,100000,Scenario_4_500_0.4_25_1_100000_25_10
Scenario_4_500_0.4_25_1_100000_25_10,TRUE,1,-11.746,-11.72,0,25,0.5,0.800407,1.524885,0.000001,1.570715,0.000001,1.962394,0.800408,0.232172,500,0.4,25,1,100000,25,10,100000,Scenario_4_500_0.4_25_1_100000_25_10
Scenario_4_500_0.4_25_1_100000_25_2,FALSE,1,-15.074,-15.593,1.038,25,0.1541,0.000001,1.594931,1.163735,1.658381,0.999999,1.370527,1.163736,0.338619,500,0.4,25,1,100000,25,2,100000,Scenario_4_500_0.4_25_1_100000_25_2
Scenario_4_500_0.4_25_1_100000_25_2,TRUE,1,-15.072,-15.593,1.041,25,0.1538,0.000001,1.594335,1.163636,1.657681,0.999999,1.37013,1.163637,0.338582,500,0.4,25,1,100000,25,2,100000,Scenario_4_500_0.4_25_1_100000_25_2
Scenario_4_500_0.4_25_1_100000_25_3,FALSE,1,-10.547,-10.543,0,25,0.5,0.75627,1.885802,0.000001,1.909948,0.000001,2.525482,0.756271,0.218799,500,0.4,25,1,100000,25,3,100000,Scenario_4_500_0.4_25_1_100000_25_3
Scenario_4_500_0.4_25_1_100000_25_3,TRUE,1,-10.547,-10.543,0,25,0.5,0.756316,1.885969,0.000001,1.910116,0.000001,2.525551,0.756317,0.218819,500,0.4,25,1,100000,25,3,100000,Scenario_4_500_0.4_25_1_100000_25_3
Scenario_4_500_0.4_25_1_100000_25_4,FALSE,1,-5.676,-5.675,0,25,0.5,0.509476,1.020613,0.000001,1.032366,0.000001,2.026327,0.509476,0.147794,500,0.4,25,1,100000,25,4,100000,Scenario_4_500_0.4_25_1_100000_25_4
Scenario_4_500_0.4_25_1_100000_25_4,TRUE,1,-5.676,-5.675,0,25,0.5,0.509462,1.020552,0.000001,1.032328,0.000001,2.026308,0.509462,0.147792,500,0.4,25,1,100000,25,4,100000,Scenario_4_500_0.4_25_1_100000_25_4
Scenario_4_500_0.4_25_1_100000_25_5,FALSE,1,-11.211,-12.086,1.751,25,0.09287,0.000001,1.297854,0.799994,1.290961,0.999999,1.622328,0.799995,0.227064,500,0.4,25,1,100000,25,5,100000,Scenario_4_500_0.4_25_1_100000_25_5
Scenario_4_500_0.4_25_1_100000_25_5,TRUE,1,-11.21,-12.086,1.752,25,0.09282,0.000001,1.297743,0.79999,1.290859,0.999999,1.622196,0.799991,0.227062,500,0.4,25,1,100000,25,5,100000,Scenario_4_500_0.4_25_1_100000_25_5
Scenario_4_500_0.4_25_1_100000_25_6,FALSE,1,-9.162,-9.355,0.387,25,0.2669,0.000001,1.341432,0.744706,1.415572,0.999999,1.801289,0.744707,0.22688,500,0.4,25,1,100000,25,6,100000,Scenario_4_500_0.4_25_1_100000_25_6
Scenario_4_500_0.4_25_1_100000_25_6,TRUE,1,-9.161,-9.355,0.388,25,0.2666,0.000001,1.341466,0.744749,1.415593,0.999999,1.801229,0.74475,0.226896,500,0.4,25,1,100000,25,6,100000,Scenario_4_500_0.4_25_1_100000_25_6
Scenario_4_500_0.4_25_1_100000_25_7,FALSE,1,-9.676,-9.681,0.01,25,0.4598,0.600745,1.071061,0.121095,1.073276,0.167759,1.482405,0.72184,0.208974,500,0.4,25,1,100000,25,7,100000,Scenario_4_500_0.4_25_1_100000_25_7
Scenario_4_500_0.4_25_1_100000_25_7,TRUE,1,-9.676,-9.681,0.01,25,0.4593,0.599077,1.070509,0.122782,1.072951,0.170092,1.481809,0.72186,0.20899,500,0.4,25,1,100000,25,7,100000,Scenario_4_500_0.4_25_1_100000_25_7
Scenario_4_500_0.4_25_1_100000_25_8,FALSE,1,-10.995,-10.995,0,25,0.5,0.807535,2.024998,0.000001,2.001279,0.000001,2.478254,0.807536,0.233802,500,0.4,25,1,100000,25,8,100000,Scenario_4_500_0.4_25_1_100000_25_8
Scenario_4_500_0.4_25_1_100000_25_8,TRUE,1,-10.995,-10.995,0,25,0.5,0.807494,2.02514,0.000001,2.001563,0.000001,2.478732,0.807495,0.233778,500,0.4,25,1,100000,25,8,100000,Scenario_4_500_0.4_25_1_100000_25_8
Scenario_4_500_0.4_25_1_100000_25_9,FALSE,1,-12.749,-12.749,0,25,0.5,0.92971,1.093491,0.000001,1.070945,0.000001,1.151912,0.929711,0.268445,500,0.4,25,1,100000,25,9,100000,Scenario_4_500_0.4_25_1_100000_25_9
Scenario_4_500_0.4_25_1_100000_25_9,TRUE,1,-12.749,-12.749,0,25,0.5,0.929711,1.093556,0.000001,1.071029,0.000001,1.152002,0.929711,0.268446,500,0.4,25,1,100000,25,9,100000,Scenario_4_500_0.4_25_1_100000_25_9
Scenario_4_500_0.4_25_1_100000_250_1,FALSE,1,-106.057,-108.618,5.122,250,0.01182,0.561258,0.133383,0.304228,0.145554,0.351511,0.157302,0.865486,0.079966,500,0.4,25,1,100000,250,1,100000,Scenario_4_500_0.4_25_1_100000_250_1
Scenario_4_500_0.4_25_1_100000_250_1,TRUE,1,-106.04,-108.618,5.156,250,0.01158,0.56013,0.133341,0.30541,0.145646,0.352855,0.157315,0.86554,0.07999,500,0.4,25,1,100000,250,1,100000,Scenario_4_500_0.4_25_1_100000_250_1
Scenario_4_500_0.4_25_1_100000_250_10,FALSE,1,-117.879,-118.958,2.157,250,0.07095,0.747219,0.144498,0.187282,0.139613,0.200408,0.146051,0.934501,0.084415,500,0.4,25,1,100000,250,10,100000,Scenario_4_500_0.4_25_1_100000_250_10
Scenario_4_500_0.4_25_1_100000_250_10,TRUE,1,-117.865,-118.958,2.186,250,0.06962,0.745916,0.144445,0.188582,0.139708,0.2018,0.146105,0.934498,0.084424,500,0.4,25,1,100000,250,10,100000,Scenario_4_500_0.4_25_1_100000_250_10
Scenario_4_500_0.4_25_1_100000_250_2,FALSE,1,-108.515,-112.414,7.797,250,0.002617,0.581887,0.123934,0.29578,0.130181,0.337007,0.139449,0.877667,0.080081,500,0.4,25,1,100000,250,2,100000,Scenario_4_500_0.4_25_1_100000_250_2
Scenario_4_500_0.4_25_1_100000_250_2,TRUE,1,-108.494,-112.414,7.84,250,0.002555,0.581036,0.123878,0.296594,0.130217,0.337949,0.139444,0.87763,0.080086,500,0.4,25,1,100000,250,2,100000,Scenario_4_500_0.4_25_1_100000_250_2
Scenario_4_500_0.4_25_1_100000_250_3,FALSE,1,-121.39,-127.694,12.606,250,0.0001922,0.458021,0.140501,0.557649,0.175627,0.549045,0.147391,1.01567,0.097167,500,0.4,25,1,100000,250,3,100000,Scenario_4_500_0.4_25_1_100000_250_3
Scenario_4_500_0.4_25_1_100000_250_3,TRUE,1,-121.364,-127.694,12.659,250,0.0001869,0.457032,0.140401,0.558677,0.175633,0.550037,0.147302,1.015709,0.09719,500,0.4,25,1,100000,250,3,100000,Scenario_4_500_0.4_25_1_100000_250_3
