Subset.Within.Iteration,HistN,Nsnps,Nids,heritability,Iteration,Ngenerations,Title,Full.Iteration.ID,Data.Available,File.ID,True.Nsnps
1,500,5000,250,0.4,1,25,Scenario_4_500_0.4_25_1,Scenario_4_500_0.4_25_1_5000_25_1,yes,Scenario_4_500_0.4_25_1_5000_25_1,5000
1,500,5000,250,0.4,2,25,Scenario_4_500_0.4_25_2,Scenario_4_500_0.4_25_2_5000_25_1,yes,Scenario_4_500_0.4_25_2_5000_25_1,5000
1,500,5000,250,0.4,3,25,Scenario_4_500_0.4_25_3,Scenario_4_500_0.4_25_3_5000_25_1,yes,Scenario_4_500_0.4_25_3_5000_25_1,5000
1,500,5000,250,0.4,4,25,Scenario_4_500_0.4_25_4,Scenario_4_500_0.4_25_4_5000_25_1,yes,Scenario_4_500_0.4_25_4_5000_25_1,5000
1,500,5000,250,0.4,5,25,Scenario_4_500_0.4_25_5,Scenario_4_500_0.4_25_5_5000_25_1,yes,Scenario_4_500_0.4_25_5_5000_25_1,5000
1,500,5000,250,0.4,6,25,Scenario_4_500_0.4_25_6,Scenario_4_500_0.4_25_6_5000_25_1,yes,Scenario_4_500_0.4_25_6_5000_25_1,5000
1,500,5000,250,0.4,7,25,Scenario_4_500_0.4_25_7,Scenario_4_500_0.4_25_7_5000_25_1,yes,Scenario_4_500_0.4_25_7_5000_25_1,5000
1,500,5000,250,0.4,8,25,Scenario_4_500_0.4_25_8,Scenario_4_500_0.4_25_8_5000_25_1,yes,Scenario_4_500_0.4_25_8_5000_25_1,5000
1,500,5000,250,0.4,9,25,Scenario_4_500_0.4_25_9,Scenario_4_500_0.4_25_9_5000_25_1,yes,Scenario_4_500_0.4_25_9_5000_25_1,5000
1,500,5000,250,0.4,10,25,Scenario_4_500_0.4_25_10,Scenario_4_500_0.4_25_10_5000_25_1,yes,Scenario_4_500_0.4_25_10_5000_25_1,5000
1,500,5000,500,0.4,1,25,Scenario_4_500_0.4_25_1,Scenario_4_500_0.4_25_1_5000_50_1,yes,Scenario_4_500_0.4_25_1_5000_50_1,5000
1,500,5000,500,0.4,2,25,Scenario_4_500_0.4_25_2,Scenario_4_500_0.4_25_2_5000_50_1,yes,Scenario_4_500_0.4_25_2_5000_50_1,5000
1,500,5000,500,0.4,3,25,Scenario_4_500_0.4_25_3,Scenario_4_500_0.4_25_3_5000_50_1,yes,Scenario_4_500_0.4_25_3_5000_50_1,5000
1,500,5000,500,0.4,4,25,Scenario_4_500_0.4_25_4,Scenario_4_500_0.4_25_4_5000_50_1,yes,Scenario_4_500_0.4_25_4_5000_50_1,5000
1,500,5000,500,0.4,5,25,Scenario_4_500_0.4_25_5,Scenario_4_500_0.4_25_5_5000_50_1,yes,Scenario_4_500_0.4_25_5_5000_50_1,5000
1,500,5000,500,0.4,6,25,Scenario_4_500_0.4_25_6,Scenario_4_500_0.4_25_6_5000_50_1,yes,Scenario_4_500_0.4_25_6_5000_50_1,5000
1,500,5000,500,0.4,7,25,Scenario_4_500_0.4_25_7,Scenario_4_500_0.4_25_7_5000_50_1,yes,Scenario_4_500_0.4_25_7_5000_50_1,5000
1,500,5000,500,0.4,8,25,Scenario_4_500_0.4_25_8,Scenario_4_500_0.4_25_8_5000_50_1,yes,Scenario_4_500_0.4_25_8_5000_50_1,5000
